,id,stationCode,stationName,location
921,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101553,Trinity Court Apartments,"{'type': 'Point', 'coordinates': [77.63578590005636, 12.973252599739912]}"
922,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101554,Opposite Corner House,"{'type': 'Point', 'coordinates': [77.63744833333334, 12.969886666666666]}"
923,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101555,"NIFT back side, HSR","{'type': 'Point', 'coordinates': [77.65362114, 12.91242589]}"
924,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101556,OYO LIFE BLR1980,"{'type': 'Point', 'coordinates': [77.684207, 12.851257]}"
925,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101557,"Opp. Krishna Annex Silk board flyover, HSR","{'type': 'Point', 'coordinates': [77.62355670332909, 12.916266755130211]}"
926,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101558,Rmz Nxt Coworks,"{'type': 'Point', 'coordinates': [77.71335301, 12.97872173]}"
927,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101559,Vijayalakshmi PG,"{'type': 'Point', 'coordinates': [77.6487, 12.8391]}"
928,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101560,"Amarnath Park 1st A main road, Koramangala","{'type': 'Point', 'coordinates': [77.61734635, 12.93693125]}"
929,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101561,Langford Garden,"{'type': 'Point', 'coordinates': [77.59833, 12.964836666667]}"
930,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101562,Traffic Police Park,"{'type': 'Point', 'coordinates': [77.60111, 12.97322]}"
931,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101566,"Water Tank, HSR","{'type': 'Point', 'coordinates': [77.64647562, 12.91188927]}"
932,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101567,"Shree Arcade 19th Main Rd, HSR","{'type': 'Point', 'coordinates': [77.64465294778347, 12.912284425189764]}"
933,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101568,"Donne biryani 24th main rd, HSR","{'type': 'Point', 'coordinates': [77.64886731, 12.90373251]}"
934,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101569,"Bangalore One HSR park, 24th Main rd","{'type': 'Point', 'coordinates': [77.64905259, 12.91294528]}"
935,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101570,"Opp. Maharajah Signal, Koramangala","{'type': 'Point', 'coordinates': [77.62970319, 12.93417167]}"
